,a,b
0,7,10.812408593532169
1,10,10.812408593532169
2,15,10.812408593532169
3,2,10.812408593532169
4,10,10.812408593532169
5,21,10.812408593532169
6,12,10.812408593532169
7,19,10.812408593532169
8,11,10.812408593532169
9,16,10.812408593532169
10,23,10.812408593532169
11,4,10.812408593532169
12,15,10.812408593532169
13,5,10.812408593532169
14,23,10.812408593532169
15,27,10.812408593532169
16,0,10.812408593532169
17,16,10.812408593532169
18,17,10.812408593532169
19,7,10.812408593532169
20,5,10.812408593532169
21,20,10.812408593532169
22,25,10.812408593532169
23,15,10.812408593532169
24,21,10.812408593532169
25,20,10.812408593532169
26,11,10.812408593532169
27,3,10.812408593532169
28,5,10.812408593532169
29,18,10.812408593532169
30,9,10.812408593532169
31,24,10.812408593532169
32,16,10.812408593532169
33,6,10.812408593532169
34,22,10.812408593532169
35,14,10.812408593532169
36,23,10.812408593532169
37,8,10.812408593532169
38,29,10.812408593532169
39,23,10.812408593532169
40,1,10.812408593532169
41,1,10.812408593532169
42,19,10.812408593532169
43,2,10.812408593532169
44,28,10.812408593532169
45,27,10.812408593532169
46,12,10.812408593532169
47,5,10.812408593532169
48,20,10.812408593532169
49,7,10.812408593532169
50,1,10.812408593532169
51,11,10.812408593532169
52,7,10.812408593532169
53,3,10.812408593532169
54,12,10.812408593532169
55,5,10.812408593532169
56,23,10.812408593532169
57,5,10.812408593532169
58,26,10.812408593532169
59,18,10.812408593532169
60,11,10.812408593532169
61,29,10.812408593532169
62,10,10.812408593532169
63,12,10.812408593532169
64,5,10.812408593532169
65,7,10.812408593532169
66,21,10.812408593532169
67,5,10.812408593532169
68,19,10.812408593532169
69,9,10.812408593532169
70,5,10.812408593532169
71,4,10.812408593532169
72,11,10.812408593532169
73,3,10.812408593532169
74,17,10.812408593532169
75,7,10.812408593532169
76,17,10.812408593532169
77,23,10.812408593532169
78,17,10.812408593532169
79,17,10.812408593532169
80,4,10.812408593532169
81,1,10.812408593532169
82,5,10.812408593532169
83,17,10.812408593532169
84,9,10.812408593532169
85,21,10.812408593532169
86,9,10.812408593532169
87,5,10.812408593532169
88,6,10.812408593532169
89,17,10.812408593532169
90,26,10.812408593532169
91,1,10.812408593532169
92,2,10.812408593532169
93,22,10.812408593532169
94,29,10.812408593532169
95,17,10.812408593532169
96,7,10.812408593532169
97,6,10.812408593532169
98,12,10.812408593532169
99,6,10.812408593532169
