,a,b
0,22,1.8581032419400476
1,2,1.8581032419400476
2,13,1.8581032419400476
3,13,1.8581032419400476
4,23,1.8581032419400476
5,24,1.8581032419400476
6,24,1.8581032419400476
7,26,1.8581032419400476
8,14,1.8581032419400476
9,15,1.8581032419400476
10,13,1.8581032419400476
11,19,1.8581032419400476
12,24,1.8581032419400476
13,22,1.8581032419400476
14,16,1.8581032419400476
15,22,1.8581032419400476
16,17,1.8581032419400476
17,25,1.8581032419400476
18,2,1.8581032419400476
19,17,1.8581032419400476
20,16,1.8581032419400476
21,13,1.8581032419400476
22,12,1.8581032419400476
23,5,1.8581032419400476
24,11,1.8581032419400476
25,10,1.8581032419400476
26,16,1.8581032419400476
27,11,1.8581032419400476
28,4,1.8581032419400476
29,10,1.8581032419400476
30,13,1.8581032419400476
31,16,1.8581032419400476
32,24,1.8581032419400476
33,18,1.8581032419400476
34,7,1.8581032419400476
35,1,1.8581032419400476
36,14,1.8581032419400476
37,1,1.8581032419400476
38,17,1.8581032419400476
39,15,1.8581032419400476
40,23,1.8581032419400476
41,28,1.8581032419400476
42,7,1.8581032419400476
43,24,1.8581032419400476
44,12,1.8581032419400476
45,22,1.8581032419400476
46,4,1.8581032419400476
47,17,1.8581032419400476
48,15,1.8581032419400476
49,11,1.8581032419400476
50,25,1.8581032419400476
51,22,1.8581032419400476
52,2,1.8581032419400476
53,9,1.8581032419400476
54,2,1.8581032419400476
55,28,1.8581032419400476
56,17,1.8581032419400476
57,5,1.8581032419400476
58,16,1.8581032419400476
59,4,1.8581032419400476
60,15,1.8581032419400476
61,6,1.8581032419400476
62,29,1.8581032419400476
63,19,1.8581032419400476
64,15,1.8581032419400476
65,27,1.8581032419400476
66,17,1.8581032419400476
67,14,1.8581032419400476
68,1,1.8581032419400476
69,5,1.8581032419400476
70,3,1.8581032419400476
71,28,1.8581032419400476
72,23,1.8581032419400476
73,28,1.8581032419400476
74,21,1.8581032419400476
75,18,1.8581032419400476
76,18,1.8581032419400476
77,19,1.8581032419400476
78,17,1.8581032419400476
79,1,1.8581032419400476
80,15,1.8581032419400476
81,2,1.8581032419400476
82,13,1.8581032419400476
83,4,1.8581032419400476
84,23,1.8581032419400476
85,3,1.8581032419400476
86,20,1.8581032419400476
87,22,1.8581032419400476
88,18,1.8581032419400476
89,27,1.8581032419400476
90,14,1.8581032419400476
91,15,1.8581032419400476
92,0,1.8581032419400476
93,26,1.8581032419400476
94,0,1.8581032419400476
95,8,1.8581032419400476
96,7,1.8581032419400476
97,18,1.8581032419400476
98,29,1.8581032419400476
99,8,1.8581032419400476
