,a,b
0,27,4.171416998354963
1,1,4.171416998354963
2,15,4.171416998354963
3,10,4.171416998354963
4,11,4.171416998354963
5,23,4.171416998354963
6,20,4.171416998354963
7,7,4.171416998354963
8,28,4.171416998354963
9,27,4.171416998354963
10,13,4.171416998354963
11,19,4.171416998354963
12,26,4.171416998354963
13,13,4.171416998354963
14,3,4.171416998354963
15,27,4.171416998354963
16,14,4.171416998354963
17,15,4.171416998354963
18,8,4.171416998354963
19,7,4.171416998354963
20,17,4.171416998354963
21,25,4.171416998354963
22,13,4.171416998354963
23,11,4.171416998354963
24,20,4.171416998354963
25,7,4.171416998354963
26,20,4.171416998354963
27,4,4.171416998354963
28,6,4.171416998354963
29,13,4.171416998354963
30,1,4.171416998354963
31,13,4.171416998354963
32,14,4.171416998354963
33,4,4.171416998354963
34,6,4.171416998354963
35,16,4.171416998354963
36,6,4.171416998354963
37,14,4.171416998354963
38,15,4.171416998354963
39,12,4.171416998354963
40,16,4.171416998354963
41,10,4.171416998354963
42,28,4.171416998354963
43,9,4.171416998354963
44,7,4.171416998354963
45,0,4.171416998354963
46,21,4.171416998354963
47,21,4.171416998354963
48,10,4.171416998354963
49,26,4.171416998354963
50,26,4.171416998354963
51,27,4.171416998354963
52,19,4.171416998354963
53,17,4.171416998354963
54,28,4.171416998354963
55,4,4.171416998354963
56,21,4.171416998354963
57,15,4.171416998354963
58,3,4.171416998354963
59,9,4.171416998354963
60,27,4.171416998354963
61,14,4.171416998354963
62,2,4.171416998354963
63,15,4.171416998354963
64,29,4.171416998354963
65,0,4.171416998354963
66,3,4.171416998354963
67,8,4.171416998354963
68,19,4.171416998354963
69,22,4.171416998354963
70,8,4.171416998354963
71,16,4.171416998354963
72,15,4.171416998354963
73,11,4.171416998354963
74,7,4.171416998354963
75,2,4.171416998354963
76,13,4.171416998354963
77,22,4.171416998354963
78,24,4.171416998354963
79,23,4.171416998354963
80,28,4.171416998354963
81,16,4.171416998354963
82,21,4.171416998354963
83,8,4.171416998354963
84,23,4.171416998354963
85,11,4.171416998354963
86,7,4.171416998354963
87,23,4.171416998354963
88,25,4.171416998354963
89,26,4.171416998354963
90,25,4.171416998354963
91,29,4.171416998354963
92,23,4.171416998354963
93,12,4.171416998354963
94,18,4.171416998354963
95,11,4.171416998354963
96,19,4.171416998354963
97,9,4.171416998354963
98,4,4.171416998354963
99,29,4.171416998354963
